Name,body Shape,dress size,Breasts-Waist-Hips(m),Shoe/Feet,Bra size,Cup size,Height(m),Weight(kg),Natural breasts or implants?
Dianna Agron, Hourglass , 2,2.184-1.626-2.261, 8, 32B, B,1.68,53, Natural 

Emmy Rossum, Banana , 0,2.057-1.524-2.184, 9, 32A, A,1.73,55, Natural 

Christina Milian, Hourglass , 2,2.311-1.473-2.261, 7, 34B, B,1.58,54, Natural 

Adele, Apple , 14,2.591-2.057-2.464, 8, 36D, D,1.75,85, Natural 

Brittany Snow, Banana , 2,2.311-1.626-2.184, 8, 34B, B,1.63,54, Natural 

Elizabeth Gillies, Apple , 2,2.311-1.626-2.184, 9, 34B, B,1.7,55, Natural 

Ariel Winter, Hourglass , 8,2.311-1.549-2.311, 7.5, 32D, D,1.55,56, Natural 

Kelly Rowland, Pear, 4,2.261-1.549-2.311, 7, 32C, C ,1.73,59, Implants 

Iggy Azalea, Pear , 6,2.057-1.473-2.388, 7, 32A, A,1.78,66, Natural 

Victoria Beckham, Banana , 0,2.184-1.473-2.134, 7, 32B, B,1.63,52, Implants 

Renee Olstead, Hourglass , 2,2.261-1.549-2.261, 7, 32C, C,1.6,51, Natural 

Pink, Inverted triangle , 4,2.261-1.626-2.184, 8, 34B, B,1.63,57, Natural 

Lynda Carter, Hourglass , 4,2.388-1.626-2.261, 10, 34C, C,1.75,55, Natural 

Angie Varona, Hourglass , N/A,2.388-1.549-2.261, 7, 32DD, DD,1.57,50, Natural  

Brandi Passante, Hourglass , N/A,2.642-1.753-2.515, 7, 36DD, DD,1.77,78, Natural  

Karina Smirnoff, Banana , 4,2.184-1.549-2.261, 5, 32B, B,1.65,55, Natural  

Allison Holker, Banana , 4,2.134-1.626-2.184, 7, 32A, A,1.6,55, Natural  

Meg Turney, Hourglass , 6,2.261-1.626-2.311, 8, 32C, C,Null,58, Natural  

Caroline Flack, Hourglass , 8,2.311-1.753-2.388, 5.5, 32D , D / E,1.63,63, Natural  

Tiffany Lakosky, Hourglass , 6,2.311-1.626-2.184, 7, 32D, D,1.57,52, Natural  

Eileen Davidson, Hourglass , 8,2.388-1.676-2.388, 8, 34C, C,1.7,67, Natural  

Laura Dotson, Hourglass , N/A,2.591-1.803-2.388, 7, 36D, D,Null,Null, Not sure  

Bindi Irwin, Hourglass , 6,2.261-1.626-2.184, 7, 32C, C,1.55,54, Natural  

Jenny Dell, Hourglass , N/A,2.515-1.626-2.311, 7, 34DD, DD,Null,Null, Natural  

Susanna Reid, Hourglass , 10,2.515-1.753-2.388, 6.5, 36C, C,1.63,67, Natural  

Nicole Curtis, Hourglass , 6,2.311-1.549-2.261, 7, 34B, B,1.6,56, Natural  

Susan Lucci, Banana , 4,2.261-1.626-2.261, 7, 32C, C,1.55,48, Implants  

Shenae Grimes, Banana , 0,2.134-1.473-2.184, 7, 32A, A,1.6,53, Natural  

Megan Glaros, Hourglass , 10,2.464-1.676-2.388, 7, 34D, D,Null,Null, Natural  

